Date,btc,eurusd,market_proxy,sp500,eurostoxx50
2015-02-11,219.18499755859375,1.1321951150894165,59.086402893066406,2068.530029296875,3374.139892578125
2015-02-12,221.76400756835938,1.131196141242981,59.66093826293945,2088.47998046875,3417.610107421875
2015-02-13,235.427001953125,1.140393853187561,59.91539001464844,2096.989990234375,3447.590087890625
2015-02-14,257.3210144042969,,,,
2015-02-15,234.8249969482422,,,,
2015-02-16,233.84300231933594,1.1400039196014404,,,3433.300048828125
2015-02-17,243.61000061035156,1.1334012746810913,60.448875427246094,2100.340087890625,3438.43994140625
2015-02-18,236.3260040283203,1.1404719352722168,60.70329666137695,2099.679931640625,3465.800048828125
2015-02-19,240.2830047607422,1.1400039196014404,60.53095245361328,2097.449951171875,3488.080078125
2015-02-20,243.7790069580078,1.1366735696792603,60.908485412597656,2110.300048828125,3490.530029296875
2015-02-21,244.53399658203125,,,,
2015-02-22,235.9770050048828,,,,
2015-02-23,238.89199829101562,1.1381484270095825,61.04801940917969,2109.659912109375,3519.580078125
2015-02-24,238.73500061035156,1.1332985162734985,61.44199752807617,2115.47998046875,3547.10009765625
2015-02-25,237.47000122070312,1.1339025497436523,61.38454055786133,2113.860107421875,3541.780029296875
2015-02-26,236.42599487304688,1.1363636255264282,61.17935562133789,2110.739990234375,3574.93994140625
2015-02-27,253.8280029296875,1.1205360889434814,61.17935562133789,2104.5,3599.0
2015-02-28,254.26300048828125,,,,
2015-03-01,260.2019958496094,,,,
2015-03-02,275.6700134277344,1.1161960363388062,61.318878173828125,2117.389892578125,3591.090087890625
2015-03-03,281.7019958496094,1.1179054975509644,60.98237609863281,2107.780029296875,3549.110107421875
2015-03-04,273.0920104980469,1.118217945098877,60.801780700683594,2098.530029296875,3583.43994140625
2015-03-05,276.1780090332031,1.1082050800323486,60.72792053222656,2101.0400390625,3618.2099609375
2015-03-06,272.7229919433594,1.1032048463821411,59.931800842285156,2071.260009765625,3617.6201171875
2015-03-07,276.260986328125,,,,
2015-03-08,274.35400390625,,,,
2015-03-09,289.60699462890625,1.0845986604690552,60.24369430541992,2079.429931640625,3610.280029296875
2015-03-10,291.760009765625,1.0833414793014526,59.02895736694336,2044.1600341796875,3567.25
2015-03-11,296.3789978027344,1.0708701610565186,59.09463119506836,2040.239990234375,3649.5400390625
2015-03-12,294.35400390625,1.0548745393753052,59.734806060791016,2065.949951171875,3641.320068359375
2015-03-13,285.3370056152344,1.0626314878463745,59.41471862792969,2053.39990234375,3656.2099609375
2015-03-14,281.885009765625,,,,
2015-03-15,286.39300537109375,,,,
2015-03-16,290.5929870605469,1.0481630563735962,60.12057113647461,2081.18994140625,3706.75
2015-03-17,285.5050048828125,1.0572947263717651,59.95641326904297,2074.280029296875,3672.159912109375
